"","V1","V2"
"179",30152447.6492274,30152447.6492274
"180",30181692.0979151,30181692.0979151
"181",30210633.1674477,30210633.1674477
"182",30239274.0526738,30239274.0526738
"183",30267617.9081257,30267617.9081257
"184",30295667.849449,30295667.849449
"185",30323426.9546751,30323426.9546751
"186",30350898.265359,30350898.265359
"187",30378084.7876002,30378084.7876002
"188",30404989.4929628,30404989.4929628
"189",30431615.3193088,30431615.3193088
"190",30457965.1715554,30457965.1715554
"191",30484041.922368,30484041.922368
"192",30509848.4127965,30509848.4127965
"193",30535387.4528621,30535387.4528621
"194",30560661.822102,30560661.822102
