"","Em","Fu","Un"
"2021-04-11",32122727.2814576,1.98642466571477e-06,2203878.71854049
"2021-04-12",32131554.321232,1.70778975636943e-06,2195051.67876644
"2021-04-13",32140289.9007857,1.46823884252913e-06,2186316.09921289
"2021-04-14",32148934.9677721,1.26228962942962e-06,2177671.03222672
"2021-04-15",32157490.4600252,1.08522882136866e-06,2169115.53997377
"2021-04-16",32165957.305662,9.33004254547643e-07,2160648.69433713
"2021-04-17",32174336.4231828,8.02132160391907e-07,2152269.57681647
"2021-04-18",32182628.721571,6.89617437004016e-07,2143977.27842837
"2021-04-19",32190835.1003918,5.9288510410508e-07,2135770.89960771
"2021-04-20",32198956.4498895,5.09721372761118e-07,2127649.55011011
"2021-04-21",32206993.6510843,4.38222981232853e-07,2119612.34891534
"2021-04-22",32214947.575868,3.76753637463441e-07,2111658.42413175
"2021-04-23",32222819.0870981,3.23906571359185e-07,2103786.91290167
"2021-04-24",32230609.038692,2.78472339845275e-07,2095996.96130782
"2021-04-25",32238318.2757192,2.39411147892117e-07,2088287.72428067
"2021-04-26",32245947.6344931,2.05829052059058e-07,2080658.36550679
"2021-04-27",32253497.9426618,1.76957501956515e-07,2073108.05733807
"2021-04-28",32260970.0192979,1.52135751418147e-07,2065635.98070199
"2021-04-29",32268364.6749872,1.30795736850151e-07,2058241.32501273
"2021-04-30",32275682.7119167,1.12449076687791e-07,2050923.28808326
"2021-05-01",32282924.9239616,9.66758944324266e-08,2043681.0760383
"2021-05-02",32290092.0967717,8.31152094761884e-08,2036513.9032282
"2021-05-03",32297185.0078562,7.14566758014248e-08,2029420.99214373
"2021-05-04",32304204.4266682,6.14334794891271e-08,2022401.57333171
"2021-05-05",32311151.1146884,5.28162324907052e-08,2015454.88531154
"2021-05-06",32318025.8255073,4.54077229176957e-08,2008580.17449263
"2021-05-07",32324829.3049074,3.90384017060112e-08,2001776.6950926
"2021-05-08",32331562.2909436,3.35625023637991e-08,1995043.70905639
"2021-05-09",32338225.5140237,2.88547050005525e-08,1988380.48597623
"2021-05-10",32344819.6969876,2.48072682913821e-08,1981786.30301233
"2021-05-11",32351345.5551854,2.13275637393912e-08,1975260.44481456
"2021-05-12",32357803.7965552,1.83359558059768e-08,1968802.20344477
"2021-05-13",32364195.1217,1.57639793943166e-08,1962410.87830001
"2021-05-14",32370520.2239634,1.35527729764398e-08,1956085.77603656
"2021-05-15",32376779.7895053,1.16517315048724e-08,1949826.21049467
"2021-05-16",32382974.4973758,1.00173482797687e-08,1943631.50262415
"2021-05-17",32389105.0195893,8.61221926682942e-09,1937500.98041072
"2021-05-18",32395172.0211969,7.40418707910397e-09,1931433.97880305
"2021-05-19",32401176.1603593,6.36560503208749e-09,1925429.8396407
"2021-05-20",32407118.0884174,5.4727044294836e-09,1919487.91158262
"2021-05-21",32412998.4499634,4.70505059951351e-09,1913607.55003659
"2021-05-22",32418817.8829108,4.0450752327714e-09,1907788.11708923
"2021-05-23",32424577.0185632,3.47767431884206e-09,1902028.98143681
"2021-05-24",32430276.4816832,2.98986248017135e-09,1896329.51831679
"2021-05-25",32435916.89056,2.57047579237173e-09,1890689.10944
"2021-05-26",32441498.8570764,2.20991628979217e-09,1885107.14292361
"2021-05-27",32447022.9867752,1.89993230917871e-09,1879583.01322474
"2021-05-28",32452489.8789252,1.63342964443264e-09,1874116.12107475
"2021-05-29",32457900.1265858,1.40430919060727e-09,1868705.87341424
"2021-05-30",32463254.3166713,1.20732736150937e-09,1863351.68332873
"2021-05-31",32468553.030015,1.03797608646201e-09,1858052.96998497
"2021-06-01",32473796.841432,8.92379639868402e-10,1852809.15856795
"2021-06-02",32478986.3197815,7.67205942447116e-10,1847619.68021851
"2021-06-03",32484122.0280283,6.59590304203902e-10,1842483.97197167
"2021-06-04",32489204.5233044,5.67069863943063e-10,1837401.47669553
"2021-06-05",32494234.3569691,4.87527224919602e-10,1832371.64303084
"2021-06-06",32499212.0746688,4.19141996693502e-10,1827393.92533118
"2021-06-07",32504138.2163962,3.60349134186685e-10,1822467.78360379
"2021-06-08",32509013.316549,3.09803120502018e-10,1817592.68345095
"2021-06-09",32513837.9039879,2.66347173802462e-10,1812768.09601206
"2021-06-10",32518612.5020938,2.28986773527664e-10,1807993.49790622
"2021-06-11",32523337.6288245,1.96866900076433e-10,1803268.37117549
"2021-06-12",32528013.7967713,1.69252467068898e-10,1798592.20322866
"2021-06-13",32532641.5132143,1.45511498366595e-10,1793964.48678569
"2021-06-14",32537221.2801773,1.25100664844503e-10,1789384.71982264
"2021-06-15",32541753.5944828,1.07552849913677e-10,1784852.40551724
"2021-06-16",32546238.947805,9.24664592225171e-11,1780367.05219497
"2021-06-17",32550677.8267243,7.94962298815116e-11,1775928.17327573
"2021-06-18",32555070.712779,6.83453288739665e-11,1771535.28722106
"2021-06-19",32559418.0825181,5.87585598191618e-11,1767187.91748189
"2021-06-20",32563720.4075532,5.05165226198383e-11,1762885.59244686
"2021-06-21",32567978.1546089,4.34305923333476e-11,1758627.84539116
"2021-06-22",32572191.7855742,3.73386023543255e-11,1754414.21442586
"2021-06-23",32576361.7575522,3.21011331154225e-11,1750244.24244785
"2021-06-24",32580488.5229098,2.75983213703418e-11,1746117.47709024
"2021-06-25",32584572.5293268,2.37271170373339e-11,1742033.47067326
"2021-06-26",32588614.2198443,2.03989248240416e-11,1737991.78015574
"2021-06-27",32592614.032913,1.75375766605843e-11,1733991.967087
"2021-06-28",32596572.4024407,1.50775885385577e-11,1730033.59755933
"2021-06-29",32600489.7578391,1.29626618624556e-11,1726116.24216088
"2021-06-30",32604366.5240709,1.11443950158647e-11,1722239.4759291
